6624	1156
6600	1156
6576	1156
6552	1156
6528	1156
6504	1156
6480	1156
6456	1156
6432	1156
6408	1156
6384	1156
6360	1156
6336	1156
6312	1156
6288	1156
6264	1156
6240	1156
6216	1156
6192	1156
6168	1156
6628	900
6388	900
6340	900
6148	900
6104	900
6436	899
6580	898
6196	898
6244	896
6484	894
6292	894
6532	893
6012	879
5971	860
5932	845
5892	835
5852	835
3821	757
3858	755
3934	752
3895	751
3786	750
3753	743
5496	731
7624	720
7600	720
7576	720
7552	720
812	716
5543	712
5446	712
4692	698
812	692
7648	688
7624	688
7600	688
7576	688
7552	688
7528	688
4728	687
4762	671
812	668
5563	664
5428	664
7672	656
7648	656
7624	656
7600	656
7576	656
7552	656
7528	656
7504	656
4795	655
4834	647
812	644
3538	641
3500	625
812	620
3466	609
812	596
3432	591
8136	580
8112	580
8088	580
8064	580
8040	580
3400	578
2516	568
2492	568
2980	552
2956	552
3968	545
4016	544
3992	544
1220	472
1196	472
1172	472
1148	472
1124	472
4680	460
4656	460
4632	460
4480	460
4456	460
4432	460
364	408
340	408
316	408
6568	392
6544	392
6520	392
6496	392
6472	392
8493	388
8528	379
1656	369
8562	368
1875	358
8596	353
1688	353
1720	339
8630	336
1839	329
1755	328
8666	327
1795	325
9018	131
9055	122
8148	120
8124	120
8100	120
8076	120
8052	120
8028	120
9086	107
9117	91
9150	74
9342	67
9305	66
9266	66
9228	66
9188	66
