316	408
340	408
364	408
812	596
812	620
812	644
812	668
812	692
812	716
1124	472
1148	472
1172	472
1196	472
1220	472
1656	369
1688	353
1720	339
1755	328
1795	325
1839	329
1875	358
2492	568
2516	568
2956	552
2980	552
3400	578
3432	591
3466	609
3500	625
3538	641
3753	743
3786	750
3821	757
3858	755
3895	751
3934	752
3968	545
3992	544
4016	544
4432	460
4456	460
4480	460
4632	460
4656	460
4680	460
4692	698
4728	687
4762	671
4795	655
4834	647
5428	664
5446	712
5496	731
5543	712
5563	664
5852	835
5892	835
5932	845
5971	860
6012	879
6104	900
6148	900
6168	1156
6192	1156
6196	898
6216	1156
6240	1156
6244	896
6264	1156
6288	1156
6292	894
6312	1156
6336	1156
6340	900
6360	1156
6384	1156
6388	900
6408	1156
6432	1156
6436	899
6456	1156
6472	392
6480	1156
6484	894
6496	392
6504	1156
6520	392
6528	1156
6532	893
6544	392
6552	1156
6568	392
6576	1156
6580	898
6600	1156
6624	1156
6628	900
7504	656
7528	656
7528	688
7552	656
7552	688
7552	720
7576	656
7576	688
7576	720
7600	656
7600	688
7600	720
7624	656
7624	688
7624	720
7648	656
7648	688
7672	656
8028	120
8040	580
8052	120
8064	580
8076	120
8088	580
8100	120
8112	580
8124	120
8136	580
8148	120
8493	388
8528	379
8562	368
8596	353
8630	336
8666	327
9018	131
9055	122
9086	107
9117	91
9150	74
9188	66
9228	66
9266	66
9305	66
9342	67
